Year;race_ethnicity;start;end;president;party
1928;White;1923;1929;Calvin Coolidge;Republican
1928;White;1923;1929;Calvin Coolidge;Republican
1928;White;1923;1929;Calvin Coolidge;Republican
1928;White;1923;1929;Calvin Coolidge;Republican
1928;White;1923;1929;Calvin Coolidge;Republican
1928;White;1923;1929;Calvin Coolidge;Republican
1928;White;1923;1929;Calvin Coolidge;Republican
1928;White;1923;1929;Calvin Coolidge;Republican
1928;White;1923;1929;Calvin Coolidge;Republican
1928;White;1923;1929;Calvin Coolidge;Republican
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1929;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1930;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1931;White;1929;1933;Herbert Hoover        ;Republican                                   
1932;White;1929;1933;Herbert Hoover        ;Republican                                   
1932;White;1929;1933;Herbert Hoover        ;Republican                                   
1932;White;1929;1933;Herbert Hoover        ;Republican                                   
1932;White;1929;1933;Herbert Hoover        ;Republican                                   
1932;White;1929;1933;Herbert Hoover        ;Republican                                   
1932;White;1929;1933;Herbert Hoover        ;Republican                                   
1932;White;1929;1933;Herbert Hoover        ;Republican                                   
1932;White;1929;1933;Herbert Hoover        ;Republican                                   
1932;White;1929;1933;Herbert Hoover        ;Republican                                   
1933;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1933;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1933;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1933;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1933;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1933;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1933;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1933;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1933;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1934;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1934;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1934;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1934;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1934;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1934;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1934;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1934;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1934;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1934;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;Asian;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1935;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1936;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1937;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1938;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;Black;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1939;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1940;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1941;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
