count,award,birthplace,person,year_of_award
0,Best Director,Moldova,Lewis Milestone,1927
87,Best Actor,Switzerland,Emil Jannings,1929
251,Best Actress,USA,Janet Gaynor,1929
1,Best Director,Scotland,Frank Lloyd,1930
89,Best Actor,England,George Arliss,1930
88,Best Actor,USA,Warner Baxter,1930
252,Best Actress,Canada,Mary Pickford,1930
253,Best Actress,Canada,Norma Shearer,1930
2,Best Director,Moldova,Lewis Milestone,1931
254,Best Actress,Canada,Marie Dressler,1931
90,Best Actor,USA,Lionel Barrymore,1931
255,Best Actress,USA,Helen Hayes,1932
91,Best Actor,USA,Wallace Beery,1932
3,Best Director,USA,Norman Taurog,1932
4,Best Director,USA,Frank Borzage,1933
256,Best Actress,USA,Katharine Hepburn,1934
5,Best Director,Scotland,Frank Lloyd,1934
92,Best Actor,England,Charles Laughton,1934
257,Best Actress,France,Claudette Colbert,1935
6,Best Director,Italy,Frank Capra,1935
93,Best Actor,USA,Clark Gable,1935
258,Best Actress,USA,Bette Davis,1936
7,Best Director,USA,John Ford,1936
94,Best Actor,England,Victor McLaglen,1936
95,Best Actor,Ukraine,Paul Muni,1937
259,Best Actress,Germany,Luise Rainer,1937
338,Best Supporting Actress,USA,Gale Sondergaard,1937
8,Best Director,Italy,Frank Capra,1937
96,Best Actor,USA,Spencer Tracy,1938
260,Best Actress,Germany,Luise Rainer,1938
173,Best Supporting Actor,USA,Walter Brennan,1938
174,Best Supporting Actor,Austria,Joseph Schildkraut,1938
9,Best Director,USA,Leo McCarey,1938
339,Best Supporting Actress,USA,Alice Brady,1938
10,Best Director,Italy,Frank Capra,1939
261,Best Actress,USA,Bette Davis,1939
175,Best Supporting Actor,USA,Walter Brennan,1939
97,Best Actor,USA,Spencer Tracy,1939
340,Best Supporting Actress,USA,Fay Bainter,1939
262,Best Actress,India,Vivien Leigh,1940
176,Best Supporting Actor,USA,Thomas Mitchell,1940
98,Best Actor,England,Robert Donat,1940
264,Best Actress,Japan,Joan Fontaine,1940
11,Best Director,USA,Victor Fleming,1940
341,Best Supporting Actress,USA,Hattie McDaniel,1940
177,Best Supporting Actor,USA,Walter Brennan,1941
