orientation;party;count
Bisexual           ;Democratic                                   ;17
Bisexual           ;Republican                                   ;20
Gay                ;Democratic                                   ;93
Gay                ;Republican                                   ;80
Lesbian            ;Democratic                                   ;14
Lesbian            ;Republican                                   ;11
Lesbian or Bisexual;Democratic                                   ;1
Lesbian or Bisexual;Republican                                   ;4
Queer              ;Democratic                                   ;1
Queer              ;Republican                                   ;4
Transgender        ;Democratic                                   ;1
